gene.id	total_sites	non-NA_sites
DPOGS200369	90	90
DPOGS200371	28	28
DPOGS200372	206	206
DPOGS200373	89	89
DPOGS200381	165	165
DPOGS200382	314	314
DPOGS200383	217	217
DPOGS200385	301	301
DPOGS200386	65	65
DPOGS200394	305	305
DPOGS200395	14	14
DPOGS200396	19	19
DPOGS200397	205	205
DPOGS200398	89	89
DPOGS200399	140	140
DPOGS200403	248	248
DPOGS200409	310	310
DPOGS200412	628	628
DPOGS200417	384	384
DPOGS200421	386	386
DPOGS200422	156	156
DPOGS200427	322	322
DPOGS200437	99	99
DPOGS200439	241	241
DPOGS200445	289	289
DPOGS200446	240	240
DPOGS200447	340	340
DPOGS200448	170	170
DPOGS200450	327	327
DPOGS200452	273	273
DPOGS200454	181	181
DPOGS200460	73	73
DPOGS200463	191	191
DPOGS200466	237	237
DPOGS200467	229	229
DPOGS200468	151	151
DPOGS200469	400	400
DPOGS200471	375	375
DPOGS200472	138	138
DPOGS200473	48	48
DPOGS200474	131	131
DPOGS200499	152	152
DPOGS200519	68	68
DPOGS200575	55	55
DPOGS200663	29	29
DPOGS200664	48	48
DPOGS200666	71	71
DPOGS200667	17	17
DPOGS200693	52	52
DPOGS200698	57	57
DPOGS200699	155	155
DPOGS200762	128	128
DPOGS200763	20	20
DPOGS200764	163	163
DPOGS200765	190	190
DPOGS200766	71	71
DPOGS200769	90	90
DPOGS200770	52	52
DPOGS200771	400	400
DPOGS200773	72	72
DPOGS200793	51	51
DPOGS200815	24	24
DPOGS200879	120	120
DPOGS200880	65	65
DPOGS200883	302	302
DPOGS200884	68	68
DPOGS200885	54	54
DPOGS200886	48	48
DPOGS200946	267	267
DPOGS200949	144	144
DPOGS200950	193	193
DPOGS200953	86	86
DPOGS200962	35	35
DPOGS200964	24	24
DPOGS200972	173	173
DPOGS200973	87	87
DPOGS200976	175	175
DPOGS200977	251	251
DPOGS200984	190	190
DPOGS200986	75	75
DPOGS200987	166	166
DPOGS200988	222	222
DPOGS200992	315	315
DPOGS200995	419	419
DPOGS200996	97	97
DPOGS200997	127	127
DPOGS200998	117	117
DPOGS201008	174	174
DPOGS201010	159	159
DPOGS201014	138	138
DPOGS201015	251	251
DPOGS201020	57	57
DPOGS201026	61	61
DPOGS201053	198	198
DPOGS201099	54	54
DPOGS201128	107	107
DPOGS201210	90	90
DPOGS201214	56	56
DPOGS201215	47	47
DPOGS201217	32	32
DPOGS201218	23	23
DPOGS201219	61	61
DPOGS201268	17	17
DPOGS201272	124	124
DPOGS201274	58	58
DPOGS201405	67	67
DPOGS201407	68	68
DPOGS201409	82	82
DPOGS201410	146	146
DPOGS201411	36	36
DPOGS201412	126	126
DPOGS201414	57	57
DPOGS201416	189	189
DPOGS201420	72	72
DPOGS201426	158	158
DPOGS201428	168	168
DPOGS201429	146	146
DPOGS201430	40	40
DPOGS201432	70	70
DPOGS201433	70	70
DPOGS201434	50	50
DPOGS201435	100	100
DPOGS201437	87	87
DPOGS201440	83	83
DPOGS201442	85	85
DPOGS201443	46	46
DPOGS201444	120	120
DPOGS201453	115	115
DPOGS201456	65	65
DPOGS201469	114	114
DPOGS201472	171	171
DPOGS201476	88	88
DPOGS201477	102	102
DPOGS201482	108	108
DPOGS201491	55	55
DPOGS201503	59	59
DPOGS201505	64	64
DPOGS201508	90	90
DPOGS201510	64	64
DPOGS201511	50	50
DPOGS201513	51	51
DPOGS201523	111	111
DPOGS201530	49	49
DPOGS201539	303	303
DPOGS201542	53	53
DPOGS201548	32	32
DPOGS201580	64	64
DPOGS201582	1634	1634
DPOGS201584	161	161
DPOGS201586	85	85
DPOGS201588	49	49
DPOGS201589	288	288
DPOGS201590	220	220
DPOGS201591	125	125
DPOGS201594	251	251
DPOGS201595	446	446
DPOGS201596	79	79
DPOGS201597	609	609
DPOGS201599	102	102
DPOGS201600	364	364
DPOGS201603	323	323
DPOGS201604	156	156
DPOGS201605	657	657
DPOGS201606	158	158
DPOGS201609	82	82
DPOGS201612	184	184
DPOGS201613	118	118
DPOGS201614	114	114
DPOGS201618	929	929
DPOGS201628	370	370
DPOGS201629	23	23
DPOGS201630	173	173
DPOGS201632	88	88
DPOGS201634	142	142
DPOGS201635	73	73
DPOGS201636	124	124
DPOGS201660	201	201
DPOGS201663	275	275
DPOGS201666	74	74
DPOGS201668	420	420
DPOGS201669	175	175
DPOGS201670	249	249
DPOGS201672	162	162
DPOGS201674	231	231
DPOGS201677	80	80
DPOGS201678	175	175
DPOGS201680	534	534
DPOGS201682	35	35
DPOGS201683	141	141
DPOGS201685	166	166
DPOGS201687	49	49
DPOGS201694	77	77
DPOGS201699	17	17
DPOGS201707	74	74
DPOGS201726	75	75
DPOGS201728	326	326
DPOGS201730	72	72
DPOGS201735	226	226
DPOGS201736	232	232
DPOGS201767	26	26
DPOGS201768	20	20
DPOGS201769	24	24
DPOGS201825	88	88
DPOGS201826	302	302
DPOGS201945	275	275
DPOGS201956	221	221
DPOGS201957	261	261
DPOGS201958	398	398
DPOGS201959	261	261
DPOGS201962	706	706
DPOGS201965	575	575
DPOGS201966	342	342
DPOGS201969	324	324
DPOGS201984	227	227
DPOGS201985	197	197
DPOGS201988	86	86
DPOGS201993	330	330
DPOGS201994	411	411
DPOGS201998	543	543
DPOGS202076	306	306
DPOGS202077	188	188
DPOGS202078	128	128
DPOGS202079	200	200
DPOGS202080	78	78
DPOGS202081	669	669
DPOGS202082	129	129
DPOGS202083	97	97
DPOGS202087	57	57
DPOGS202088	69	69
DPOGS202089	33	33
DPOGS202093	492	492
DPOGS202094	471	471
DPOGS202104	218	218
DPOGS202110	280	280
DPOGS202114	585	585
DPOGS202118	562	562
DPOGS202125	261	261
DPOGS202128	225	225
DPOGS202133	66	66
DPOGS202147	190	190
DPOGS202152	421	421
DPOGS202153	110	110
DPOGS202154	341	341
DPOGS202157	265	265
DPOGS202161	256	256
DPOGS202163	64	64
DPOGS202165	334	334
DPOGS202167	531	531
DPOGS202176	516	516
DPOGS202177	375	375
DPOGS202178	190	190
DPOGS202179	140	140
DPOGS202184	34	34
DPOGS202238	29	29
DPOGS202239	335	335
DPOGS202242	127	127
DPOGS202244	354	354
DPOGS202245	100	100
DPOGS202248	315	315
DPOGS202249	270	270
DPOGS202250	172	172
DPOGS202251	97	97
DPOGS202252	340	340
DPOGS202255	158	158
DPOGS202256	163	163
DPOGS202258	226	226
DPOGS202262	107	107
DPOGS202263	119	119
DPOGS202265	207	207
DPOGS202266	159	159
DPOGS202267	31	31
DPOGS202269	169	169
DPOGS202272	131	131
DPOGS202274	131	131
DPOGS202280	506	506
DPOGS202281	171	171
DPOGS202282	185	185
DPOGS202292	220	220
DPOGS202293	57	57
DPOGS202303	151	151
DPOGS202307	102	102
DPOGS202309	283	283
DPOGS202313	361	361
DPOGS202317	94	94
DPOGS202320	265	265
DPOGS202321	245	245
DPOGS202322	196	196
DPOGS202324	144	144
DPOGS202326	94	94
DPOGS202328	228	228
DPOGS202329	209	209
DPOGS202332	189	189
DPOGS202333	312	312
DPOGS202336	293	293
DPOGS202338	170	170
DPOGS202340	204	204
DPOGS202345	25	25
DPOGS202346	21	21
DPOGS202349	133	133
DPOGS202351	301	301
DPOGS202353	137	137
DPOGS202354	87	87
DPOGS202356	68	68
DPOGS202358	169	169
DPOGS202363	363	363
DPOGS202364	74	74
DPOGS202366	87	87
DPOGS202368	159	159
DPOGS202376	32	32
DPOGS202380	45	45
DPOGS202381	47	47
DPOGS202382	113	113
DPOGS202384	80	80
DPOGS202386	226	226
DPOGS202387	207	207
DPOGS202389	30	30
DPOGS202390	252	252
DPOGS202391	78	78
DPOGS202393	26	26
DPOGS202395	126	126
DPOGS202396	148	148
DPOGS202397	446	446
DPOGS202398	51	51
DPOGS202401	301	301
DPOGS202404	58	58
DPOGS202409	311	311
DPOGS202412	230	230
DPOGS202435	138	138
DPOGS202474	473	473
DPOGS202477	191	191
DPOGS202478	45	45
DPOGS202479	20	20
DPOGS202480	436	436
DPOGS202481	51	51
DPOGS202482	154	154
DPOGS202483	35	35
DPOGS202484	32	32
DPOGS202485	326	326
DPOGS202489	74	74
DPOGS202541	78	78
DPOGS202545	41	41
DPOGS202547	66	66
DPOGS202549	42	42
DPOGS202550	26	26
DPOGS202553	58	58
DPOGS202554	19	19
DPOGS202555	99	99
DPOGS202556	76	76
DPOGS202561	211	211
DPOGS202562	157	157
DPOGS202564	157	157
DPOGS202565	93	93
DPOGS202566	54	54
DPOGS202569	208	208
DPOGS202571	41	41
DPOGS202572	67	67
DPOGS202574	89	89
DPOGS202579	59	59
DPOGS202581	71	71
DPOGS202582	43	43
DPOGS202583	32	32
DPOGS202585	207	207
DPOGS202587	213	213
DPOGS202592	148	148
DPOGS202595	554	554
DPOGS202597	28	28
DPOGS202599	128	128
DPOGS202600	302	302
DPOGS202601	105	105
DPOGS202602	310	310
DPOGS202604	31	31
DPOGS202607	255	255
DPOGS202611	88	88
DPOGS202617	74	74
DPOGS202618	109	109
DPOGS202622	83	83
DPOGS202626	253	253
DPOGS202640	225	225
DPOGS202644	213	213
DPOGS202646	43	43
DPOGS202647	207	207
DPOGS202650	543	543
DPOGS202657	738	738
DPOGS202658	196	196
DPOGS202662	186	186
DPOGS202665	659	659
DPOGS202671	223	223
DPOGS202674	110	110
DPOGS202676	217	217
DPOGS202677	177	177
DPOGS202680	138	138
DPOGS202683	161	161
DPOGS202684	66	66
DPOGS202685	566	566
DPOGS202686	248	248
DPOGS202689	279	279
DPOGS202692	145	145
DPOGS202697	80	80
DPOGS202700	180	180
DPOGS202701	122	122
DPOGS202703	298	298
DPOGS202704	140	140
DPOGS202744	197	197
DPOGS202745	39	39
DPOGS202746	63	63
DPOGS202747	132	132
DPOGS202749	53	53
DPOGS202763	47	47
DPOGS202774	532	532
DPOGS202775	270	270
DPOGS202779	252	252
DPOGS202785	345	345
DPOGS202787	355	355
DPOGS202794	978	978
DPOGS202795	926	926
DPOGS202796	198	198
DPOGS202797	246	246
DPOGS202798	34	34
DPOGS202799	265	265
DPOGS202801	27	27
DPOGS202802	282	282
DPOGS202806	1252	1252
DPOGS202807	383	383
DPOGS202808	158	158
DPOGS202810	174	174
DPOGS202817	314	314
DPOGS202822	240	240
DPOGS202826	221	221
DPOGS202827	194	194
DPOGS202835	435	435
DPOGS202836	346	346
DPOGS202840	117	117
DPOGS202841	171	171
DPOGS202846	265	265
DPOGS202855	56	56
DPOGS202862	233	233
DPOGS202868	321	321
DPOGS202873	76	76
DPOGS202875	326	326
DPOGS202877	157	157
DPOGS202881	127	127
DPOGS202884	305	305
DPOGS202885	92	92
DPOGS202887	32	32
DPOGS202888	22	22
DPOGS202891	27	27
DPOGS202892	84	84
DPOGS202893	70	70
DPOGS202899	231	231
DPOGS202901	568	568
DPOGS202903	484	484
DPOGS202904	313	313
DPOGS202907	326	326
DPOGS202910	814	814
DPOGS202911	55	55
DPOGS202912	882	882
DPOGS202916	133	133
DPOGS202917	69	69
DPOGS202919	135	135
DPOGS202921	21	21
DPOGS202924	113	113
DPOGS202937	300	300
DPOGS202940	197	197
DPOGS202941	56	56
DPOGS202942	24	24
DPOGS202945	367	367
DPOGS202946	155	155
DPOGS202947	109	109
DPOGS202948	165	165
DPOGS202949	158	158
DPOGS202950	46	46
DPOGS202954	74	74
DPOGS202955	30	30
DPOGS202956	75	75
DPOGS202958	278	278
DPOGS202959	117	117
DPOGS202961	260	260
DPOGS202962	130	130
DPOGS202963	656	656
DPOGS202964	79	79
DPOGS202965	43	43
DPOGS202967	123	123
DPOGS202968	69	69
DPOGS202972	80	80
DPOGS202973	125	125
DPOGS203040	402	402
DPOGS203057	153	153
DPOGS203058	57	57
DPOGS203060	248	248
DPOGS203061	63	63
DPOGS203062	155	155
DPOGS203063	170	170
DPOGS203064	34	34
DPOGS203065	54	54
DPOGS203068	67	67
DPOGS203069	115	115
DPOGS203070	393	393
DPOGS203071	143	143
DPOGS203072	84	84
DPOGS203073	160	160
DPOGS203075	49	49
DPOGS203076	134	134
DPOGS203077	91	91
DPOGS203080	86	86
DPOGS203083	29	29
DPOGS203084	54	54
DPOGS203094	165	165
DPOGS203095	116	116
DPOGS203096	298	298
DPOGS203097	500	500
DPOGS203099	157	157
DPOGS203100	118	118
DPOGS203101	109	109
DPOGS203103	227	227
DPOGS203106	165	165
DPOGS203109	123	123
DPOGS203135	261	261
DPOGS203136	186	186
DPOGS203137	237	237
DPOGS203140	278	278
DPOGS203142	185	185
DPOGS203143	117	117
DPOGS203147	113	113
DPOGS203149	128	128
DPOGS203152	59	59
DPOGS203153	201	201
DPOGS203155	489	489
DPOGS203162	457	457
DPOGS203163	486	486
DPOGS203165	57	57
DPOGS203167	198	198
DPOGS203168	205	205
DPOGS203170	160	160
DPOGS203173	179	179
DPOGS203178	274	274
DPOGS203179	468	468
DPOGS203180	159	159
DPOGS203181	98	98
DPOGS203182	226	226
DPOGS203183	118	118
DPOGS203184	140	140
DPOGS203185	525	525
DPOGS203186	509	509
DPOGS203187	277	277
DPOGS203188	123	123
DPOGS203189	117	117
DPOGS203191	366	366
DPOGS203195	69	69
DPOGS203196	114	114
DPOGS203197	131	131
DPOGS203198	400	400
DPOGS203199	24	24
DPOGS203200	488	488
DPOGS203202	368	368
DPOGS203203	283	283
DPOGS203205	43	43
DPOGS203206	186	186
DPOGS203207	319	319
DPOGS203208	108	108
DPOGS203210	250	250
DPOGS203211	184	184
DPOGS203216	287	287
DPOGS203217	249	249
DPOGS203219	407	407
DPOGS203221	198	198
DPOGS203222	218	218
DPOGS203226	403	403
DPOGS203227	432	432
DPOGS203228	275	275
DPOGS203229	222	222
DPOGS203230	272	272
DPOGS203232	207	207
DPOGS203233	274	274
DPOGS203420	114	114
DPOGS203421	26	26
DPOGS203424	62	62
DPOGS203425	67	67
DPOGS203433	30	30
DPOGS203437	486	486
DPOGS203438	386	386
DPOGS203439	698	698
DPOGS203440	248	248
DPOGS203443	233	233
DPOGS203448	84	84
DPOGS203451	127	127
DPOGS203452	29	29
DPOGS203454	266	266
DPOGS203460	58	58
DPOGS203461	90	90
DPOGS203462	43	43
DPOGS203463	12	12
DPOGS203465	179	179
DPOGS203466	68	68
DPOGS203467	167	167
DPOGS203468	36	36
DPOGS203469	56	56
DPOGS203471	114	114
DPOGS203473	48	48
DPOGS203474	40	40
DPOGS203582	91	91
DPOGS203638	182	182
DPOGS203639	313	313
DPOGS203641	83	83
DPOGS203649	456	456
DPOGS203650	201	201
DPOGS203651	196	196
DPOGS203654	84	84
DPOGS203655	253	253
DPOGS203657	570	570
DPOGS203661	361	361
DPOGS203664	252	252
DPOGS203670	240	240
DPOGS203671	275	275
DPOGS203672	367	367
DPOGS203674	331	331
DPOGS203675	547	547
DPOGS203683	247	247
DPOGS203686	398	398
DPOGS203687	499	499
DPOGS203690	893	893
DPOGS203696	429	429
DPOGS203701	186	186
DPOGS203702	181	181
DPOGS203704	328	328
DPOGS203710	222	222
DPOGS203711	689	689
DPOGS203712	514	514
DPOGS203713	75	75
DPOGS203719	355	355
DPOGS203720	427	427
DPOGS203721	172	172
DPOGS203726	161	161
DPOGS203727	345	345
DPOGS203731	87	87
DPOGS203734	106	106
DPOGS203740	488	488
DPOGS203741	132	132
DPOGS203747	135	135
DPOGS203750	26	26
DPOGS203751	89	89
DPOGS203752	59	59
DPOGS203758	125	125
DPOGS203759	289	289
DPOGS203767	434	434
DPOGS203768	314	314
DPOGS203770	148	148
DPOGS203772	241	241
DPOGS203775	101	101
DPOGS203785	760	760
DPOGS203788	235	235
DPOGS203791	391	391
DPOGS203792	585	585
DPOGS203796	463	463
DPOGS203797	250	250
DPOGS203798	49	49
DPOGS203801	65	65
DPOGS203802	402	402
DPOGS203804	318	318
DPOGS203806	188	188
DPOGS203809	533	533
DPOGS203810	386	386
DPOGS203812	97	97
DPOGS203814	184	184
DPOGS203815	280	280
DPOGS203824	174	174
DPOGS203825	296	296
DPOGS203829	298	298
DPOGS203830	73	73
DPOGS203831	449	449
DPOGS203832	304	304
DPOGS203833	283	283
DPOGS203835	158	158
DPOGS203836	124	124
DPOGS203837	61	61
DPOGS203839	291	291
DPOGS203843	143	143
DPOGS203850	122	122
DPOGS203851	101	101
DPOGS203857	106	106
DPOGS203859	728	728
DPOGS203861	260	260
DPOGS203862	662	662
DPOGS203866	66	66
DPOGS203867	262	262
DPOGS203868	197	197
DPOGS203870	299	299
DPOGS203871	95	95
DPOGS203873	35	35
DPOGS203876	211	211
DPOGS203878	117	117
DPOGS203880	89	89
DPOGS203881	149	149
DPOGS203882	686	686
DPOGS203885	102	102
DPOGS203886	32	32
DPOGS203888	140	140
DPOGS203889	96	96
DPOGS203896	91	91
DPOGS203897	51	51
DPOGS203999	20	20
DPOGS204005	215	215
DPOGS204007	43	43
DPOGS204009	26	26
DPOGS204010	146	146
DPOGS204011	38	38
DPOGS204012	25	25
DPOGS204014	82	82
DPOGS204016	91	91
DPOGS204017	177	177
DPOGS204024	128	128
DPOGS204030	106	106
DPOGS204032	82	82
DPOGS204033	185	185
DPOGS204036	220	220
DPOGS204038	277	277
DPOGS204043	75	75
DPOGS204045	302	302
DPOGS204048	169	169
DPOGS204051	50	50
DPOGS204063	70	70
DPOGS204065	123	123
DPOGS204074	53	53
DPOGS204079	54	54
DPOGS204080	169	169
DPOGS204086	160	160
DPOGS204089	141	141
DPOGS204090	152	152
DPOGS204093	44	44
DPOGS204095	171	171
DPOGS204143	44	44
DPOGS204144	112	112
DPOGS204146	190	190
DPOGS204147	212	212
DPOGS204148	135	135
DPOGS204153	277	277
DPOGS204155	357	357
DPOGS204156	245	245
DPOGS204159	186	186
DPOGS204161	126	126
DPOGS204162	84	84
DPOGS204163	160	160
DPOGS204164	160	160
DPOGS204167	445	445
DPOGS204169	111	111
DPOGS204170	154	154
DPOGS204172	196	196
DPOGS204174	139	139
DPOGS204176	120	120
DPOGS204178	655	655
DPOGS204179	86	86
DPOGS204181	326	326
DPOGS204183	141	141
DPOGS204184	159	159
DPOGS204187	815	815
DPOGS204190	509	509
DPOGS204194	201	201
DPOGS204195	96	96
DPOGS204199	49	49
DPOGS204200	271	271
DPOGS204202	138	138
DPOGS204203	73	73
DPOGS204210	27	27
DPOGS204211	76	76
DPOGS204212	101	101
DPOGS204217	295	295
DPOGS204220	109	109
DPOGS204222	222	222
DPOGS204227	179	179
DPOGS204228	202	202
DPOGS204229	341	341
DPOGS204230	482	482
DPOGS204231	206	206
DPOGS204236	273	273
DPOGS204238	465	465
DPOGS204239	276	276
DPOGS204248	138	138
DPOGS204253	93	93
DPOGS204255	81	81
DPOGS204260	243	243
DPOGS204262	150	150
DPOGS204276	98	98
DPOGS204278	325	325
DPOGS204279	279	279
DPOGS204284	408	408
DPOGS204288	114	114
DPOGS204290	332	332
DPOGS204293	233	233
DPOGS204294	433	433
DPOGS204296	385	385
DPOGS204297	329	329
DPOGS204300	232	232
DPOGS204303	354	354
DPOGS204308	281	281
DPOGS204311	318	318
DPOGS204314	72	72
DPOGS204316	208	208
DPOGS204318	285	285
DPOGS204321	28	28
DPOGS204378	136	136
DPOGS204381	462	462
DPOGS204383	180	180
DPOGS204387	106	106
DPOGS204388	235	235
DPOGS204390	251	251
DPOGS204393	135	135
DPOGS204399	240	240
DPOGS204402	42	42
DPOGS204404	40	40
DPOGS204406	420	420
DPOGS204407	27	27
DPOGS204409	90	90
DPOGS204410	176	176
DPOGS204412	176	176
DPOGS204414	306	306
DPOGS204415	166	166
DPOGS204418	130	130
DPOGS204420	190	190
DPOGS204423	366	366
DPOGS204424	44	44
DPOGS204429	176	176
DPOGS204430	328	328
DPOGS204431	192	192
DPOGS204433	233	233
DPOGS204434	62	62
DPOGS204437	154	154
DPOGS204440	228	228
DPOGS204443	282	282
DPOGS204444	104	104
DPOGS204445	174	174
DPOGS204448	97	97
DPOGS204450	188	188
DPOGS204453	482	482
DPOGS204454	73	73
DPOGS204455	191	191
DPOGS204456	239	239
DPOGS204457	305	305
DPOGS204458	341	341
DPOGS204459	173	173
DPOGS204460	146	146
DPOGS204461	180	180
DPOGS204462	32	32
DPOGS204463	241	241
DPOGS204466	471	471
DPOGS204467	151	151
DPOGS204468	262	262
DPOGS204472	171	171
DPOGS204473	77	77
DPOGS204474	42	42
DPOGS204475	341	341
DPOGS204476	134	134
DPOGS204480	283	283
DPOGS204481	262	262
DPOGS204482	249	249
DPOGS204483	171	171
DPOGS204485	269	269
DPOGS204487	192	192
DPOGS204495	100	100
DPOGS204496	71	71
DPOGS204497	378	378
DPOGS204500	74	74
DPOGS204502	224	224
DPOGS204503	247	247
DPOGS204504	389	389
DPOGS204508	116	116
DPOGS204524	105	105
DPOGS204525	545	545
DPOGS204526	319	319
DPOGS204527	122	122
DPOGS204528	38	38
DPOGS204532	341	341
DPOGS204533	314	314
DPOGS204534	287	287
DPOGS204536	124	124
DPOGS204537	28	28
DPOGS204538	36	36
DPOGS204541	149	149
DPOGS204543	46	46
DPOGS204544	130	130
DPOGS204546	164	164
DPOGS204548	120	120
DPOGS204549	120	120
DPOGS204550	121	121
DPOGS204551	195	195
DPOGS204552	252	252
DPOGS204553	60	60
DPOGS204554	137	137
DPOGS204555	377	377
DPOGS204556	317	317
DPOGS204557	585	585
DPOGS204558	104	104
DPOGS204559	435	435
DPOGS204561	31	31
DPOGS204562	149	149
DPOGS204563	80	80
DPOGS204572	339	339
DPOGS204574	369	369
DPOGS204577	500	500
DPOGS204592	37	37
DPOGS204596	85	85
DPOGS204610	42	42
DPOGS204613	975	975
DPOGS204615	84	84
DPOGS204617	100	100
DPOGS204621	94	94
DPOGS204622	470	470
DPOGS204623	137	137
DPOGS204625	583	583
DPOGS204626	143	143
DPOGS204627	169	169
DPOGS204628	250	250
DPOGS204629	292	292
DPOGS204630	44	44
DPOGS204635	108	108
DPOGS204636	172	172
DPOGS204637	69	69
DPOGS204638	446	446
DPOGS204640	97	97
DPOGS204641	130	130
DPOGS204643	357	357
DPOGS204648	437	437
DPOGS204649	313	313
DPOGS204651	26	26
DPOGS204735	96	96
DPOGS204736	289	289
DPOGS204737	267	267
DPOGS204738	161	161
DPOGS204740	188	188
DPOGS204741	88	88
DPOGS204742	45	45
DPOGS204743	117	117
DPOGS204744	365	365
DPOGS204746	371	371
DPOGS204747	181	181
DPOGS204748	147	147
DPOGS204749	213	213
DPOGS204750	97	97
DPOGS204751	437	437
DPOGS204752	214	214
DPOGS204753	306	306
DPOGS204755	183	183
DPOGS204756	194	194
DPOGS204757	45	45
DPOGS204759	44	44
DPOGS204760	196	196
DPOGS204762	183	183
DPOGS204763	39	39
DPOGS204764	60	60
DPOGS204765	408	408
DPOGS204766	40	40
DPOGS204767	38	38
DPOGS204768	74	74
DPOGS204769	546	546
DPOGS204771	1069	1069
DPOGS204774	182	182
DPOGS204776	365	365
DPOGS204779	479	479
DPOGS204780	474	474
DPOGS204781	225	225
DPOGS204782	183	183
DPOGS204783	56	56
DPOGS204785	162	162
DPOGS204786	171	171
DPOGS204787	57	57
DPOGS204788	70	70
DPOGS204790	354	354
DPOGS204791	63	63
DPOGS204792	155	155
DPOGS204793	324	324
DPOGS204794	78	78
DPOGS204796	32	32
DPOGS204797	90	90
DPOGS204835	445	445
DPOGS204836	85	85
DPOGS204840	215	215
DPOGS204841	165	165
DPOGS204843	148	148
DPOGS204855	253	253
DPOGS204857	322	322
DPOGS204858	242	242
DPOGS204862	47	47
DPOGS204863	60	60
DPOGS204923	269	269
DPOGS204967	39	39
DPOGS204969	88	88
DPOGS204972	421	421
DPOGS204979	238	238
DPOGS204984	132	132
DPOGS204985	134	134
DPOGS204987	57	57
DPOGS204988	118	118
DPOGS204991	190	190
DPOGS204995	162	162
DPOGS205001	155	155
DPOGS205014	342	342
DPOGS205015	234	234
DPOGS205016	261	261
DPOGS205017	181	181
DPOGS205018	32	32
DPOGS205019	187	187
DPOGS205020	263	263
DPOGS205021	85	85
DPOGS205042	470	470
DPOGS205045	66	66
DPOGS205048	231	231
DPOGS205051	215	215
DPOGS205053	605	605
DPOGS205063	457	457
DPOGS205065	450	450
DPOGS205066	332	332
DPOGS205070	643	643
DPOGS205071	1298	1298
DPOGS205075	354	354
DPOGS205078	1323	1323
DPOGS205085	313	313
DPOGS205086	788	788
DPOGS205091	328	328
DPOGS205092	440	440
DPOGS205093	397	397
DPOGS205097	610	610
DPOGS205123	235	235
DPOGS205126	131	131
DPOGS205190	109	109
DPOGS205191	128	128
DPOGS205192	103	103
DPOGS205193	32	32
DPOGS205196	110	110
DPOGS205197	282	282
DPOGS205199	203	203
